row	col	weight
Ghir_A11G022340	Ghir_D11G022040	0.981485135431976
Ghir_A10G010090	Ghir_D10G009180	0.979298578232057
Ghir_D02G011140	Ghir_D13G015630	0.971712361233886
Ghir_A03G009610	Ghir_D02G011140	0.970652046689616
Ghir_A03G009610	Ghir_D13G015630	0.968034472913618
Ghir_D11G003630	Ghir_D13G015630	0.966911677484673
Ghir_D02G011140	Ghir_D10G009180	0.966271202501339
Ghir_A03G009610	Ghir_D10G009180	0.963964846219602
Ghir_A09G013010	Ghir_D02G011140	0.962232627414272
Ghir_A01G018620	Ghir_D13G015630	0.962130960752057
Ghir_A01G018620	Ghir_D11G022040	0.961571567377165
Ghir_D10G009180	Ghir_D13G015630	0.961422145123451
Ghir_A03G009610	Ghir_D11G003630	0.960073944938114
Ghir_D02G011140	Ghir_D11G003630	0.958857182471166
Ghir_D10G009180	Ghir_D11G022040	0.958688312459371
Ghir_A01G007190	Ghir_D10G009180	0.957401280283104
Ghir_D10G009180	Ghir_D11G017390	0.957339520250085
Ghir_A10G010090	Ghir_D11G022040	0.956991957485347
Ghir_A01G018620	Ghir_D02G011140	0.955016489668208
Ghir_A03G009610	Ghir_A09G013010	0.954620532117083
Ghir_A01G018620	Ghir_D10G009180	0.953711777984521
Ghir_D10G009180	Ghir_D11G014620	0.953097335731537
Ghir_A09G013010	Ghir_D10G009180	0.952418072036097
Ghir_A10G010090	Ghir_A11G022340	0.952271126391407
Ghir_A01G007190	Ghir_A01G018620	0.951609060997564
Ghir_A11G022340	Ghir_D10G009180	0.950425573583663
Ghir_D10G009180	Ghir_D12G013230	0.949114667494317
Ghir_A01G018620	Ghir_A11G022340	0.948668772094213
Ghir_A04G014690	Ghir_D10G009180	0.945989893870954
Ghir_D02G011140	Ghir_D11G022040	0.945103146253826
Ghir_D02G011140	Ghir_D12G013230	0.943421899332648
Ghir_A01G007190	Ghir_D13G015630	0.943132947462252
Ghir_A10G010090	Ghir_D11G017390	0.942677481494132
Ghir_A04G014690	Ghir_D02G011140	0.939218708382756
Ghir_D11G014620	Ghir_D13G015630	0.939185734670234
Ghir_D11G022030	Ghir_D11G022040	0.938295440107091
Ghir_D11G017390	Ghir_D11G022040	0.937924169829817
Ghir_A03G009610	Ghir_D11G006100	0.937527390433341
Ghir_A10G010090	Ghir_D11G022030	0.934805963339635
Ghir_A03G009610	Ghir_D11G014620	0.93242801903926
Ghir_A01G018620	Ghir_D01G011780	0.931940085632826
Ghir_A09G013010	Ghir_D12G013230	0.9297508616721
Ghir_A05G013530	Ghir_D02G011140	0.925472752910527
Ghir_A09G013010	Ghir_D11G006100	0.922537225509446
Ghir_A11G022340	Ghir_D11G022030	0.921718488551739
Ghir_A05G013530	Ghir_D13G015630	0.920270176340845
Ghir_D02G011140	Ghir_D11G006100	0.918774921669005
Ghir_D01G011780	Ghir_D11G022040	0.916329502294868
Ghir_A04G014690	Ghir_D12G013230	0.913386844180151
Ghir_A01G018620	Ghir_D01G019530	0.910486671646358
Ghir_A01G018620	Ghir_A08G012270	0.910340360473359
Ghir_A01G014880	Ghir_A01G018620	0.909792070593254
Ghir_A09G009900	Ghir_A09G013010	0.908316757985886
Ghir_A11G022340	Ghir_D01G011780	0.90652758506107
Ghir_D01G019530	Ghir_D13G015630	0.905236554168872
Ghir_A01G014880	Ghir_D13G015630	0.903317378198067
Ghir_A01G006830	Ghir_D11G003630	0.902849142842108
Ghir_A01G018620	Ghir_A05G013530	0.902145366228156
Ghir_D01G016570	Ghir_D02G011140	0.90112579259102
Ghir_A09G013010	Ghir_D08G004210	0.900581793626656
Ghir_A03G009610	Ghir_D11G013290	0.899697656400571
Ghir_A01G007190	Ghir_A01G014880	0.899620455486808
Ghir_A08G012270	Ghir_D11G022040	0.899268581849521
Ghir_A01G006830	Ghir_D13G015630	0.896984164030974
