row	col	weight
Ghir_A11G014820	Ghir_D11G014920	0.957427313499428
Ghir_A08G001880	Ghir_D13G017400	0.934036187795991
Ghir_A08G001880	Ghir_D04G008910	0.933515470397699
Ghir_A08G001880	Ghir_A13G015530	0.928707906285986
Ghir_A08G001880	Ghir_A13G008780	0.925512505032651
Ghir_A08G001880	Ghir_D11G014920	0.924208275384175
Ghir_A08G001880	Ghir_A11G021390	0.923993385524045
Ghir_A08G001880	Ghir_D11G019480	0.918324260463879
Ghir_A08G001880	Ghir_A11G014820	0.917027529899869
Ghir_A13G008780	Ghir_D13G017400	0.916931424893624
Ghir_A11G034830	Ghir_D13G017400	0.914852277718119
Ghir_A13G008780	Ghir_A13G015530	0.912953178103481
Ghir_A11G019350	Ghir_D11G019480	0.911682828567349
Ghir_A05G042490	Ghir_D04G008910	0.904794153116457
Ghir_A13G013710	Ghir_A13G015530	0.903637136738203
Ghir_A08G001880	Ghir_A11G034830	0.900911846628476
Ghir_A08G001880	Ghir_A13G013710	0.89796644160586
Ghir_A13G015530	Ghir_D13G017400	0.89770653288264
Ghir_A11G034830	Ghir_D09G019660	0.893671091020274
Ghir_A08G024990	Ghir_A11G034830	0.891163428264542
Ghir_A11G034830	Ghir_D04G000450	0.890544953172838
Ghir_A05G042490	Ghir_A08G001880	0.88821994716957
Ghir_D08G005010	Ghir_D13G017400	0.885816470710841
Ghir_A11G021390	Ghir_D06G006400	0.885297479817307
Ghir_A08G001880	Ghir_D08G005010	0.879035877874021
Ghir_A11G034830	Ghir_A13G008780	0.876941221745657
Ghir_A08G004850	Ghir_D08G005010	0.875272367317682
Ghir_A08G001880	Ghir_D09G024660	0.874660025616481
Ghir_A08G001880	Ghir_D05G036270	0.870143685806782
Ghir_A13G013710	Ghir_D13G025760	0.866560442241736
Ghir_A08G001880	Ghir_D06G006400	0.861682180529576
Ghir_A08G001880	Ghir_A11G019350	0.859987802768315
Ghir_A13G008780	Ghir_D04G006470	0.855323346005359
Ghir_D04G000450	Ghir_D09G019660	0.855145896459997
Ghir_A08G004850	Ghir_D13G017400	0.85399643623937
Ghir_A08G001880	Ghir_D13G025760	0.852089755385903
Ghir_A08G024990	Ghir_D13G017400	0.850926487593841
Ghir_A13G015530	Ghir_D13G025760	0.848503222700849
Ghir_A08G001880	Ghir_D08G001950	0.843434843383401
Ghir_A08G001880	Ghir_D04G006470	0.841251430794905
Ghir_A11G021390	Ghir_D01G019850	0.840163854965826
Ghir_A11G021390	Ghir_D05G036270	0.836856317143509
Ghir_A08G001880	Ghir_D09G019660	0.835329773294441
Ghir_A08G001880	Ghir_A08G004850	0.834578568039996
Ghir_A13G015530	Ghir_D08G005010	0.834485946910174
Ghir_A08G001880	Ghir_D04G000450	0.833045730332074
Ghir_D01G019850	Ghir_D06G006400	0.830999243581672
Ghir_A08G024990	Ghir_D04G000450	0.828924134543734
Ghir_A08G001880	Ghir_D09G025050	0.825219524238541
Ghir_A11G034830	Ghir_D04G006470	0.823248318896466
Ghir_A08G024990	Ghir_A09G025010	0.821423939637803
Ghir_A11G021390	Ghir_D02G019860	0.816786527945855
Ghir_D04G000450	Ghir_D13G017400	0.816458403600097
Ghir_A08G001880	Ghir_D01G019850	0.814768670303788
Ghir_D02G024260	Ghir_D04G008910	0.800077005975172
