row	col	weight
Ghir_A02G018560	Ghir_D03G001060	0.957577688788529
Ghir_A08G006080	Ghir_D08G006240	0.906344595480647
Ghir_A05G023780	Ghir_D05G023650	0.901692421417454
Ghir_A09G026130	Ghir_D02G023290	0.890196238279248
Ghir_A13G000730	Ghir_D05G023650	0.884256111057665
Ghir_A10G004290	Ghir_D10G005060	0.876108339212761
Ghir_A04G013450	Ghir_D05G023650	0.876021855824825
Ghir_A09G026130	Ghir_D09G025250	0.875892980203585
Ghir_A04G013450	Ghir_D02G023290	0.873823816093039
Ghir_D02G023290	Ghir_D03G001060	0.873604555719601
Ghir_A05G017760	Ghir_D05G017750	0.873533221246954
Ghir_A04G013450	Ghir_A09G026130	0.8718802649047
Ghir_A02G018560	Ghir_D02G023290	0.869890452007315
Ghir_A02G018560	Ghir_A04G013450	0.860756707936484
Ghir_A05G023780	Ghir_A13G000730	0.856776463738234
Ghir_A02G018560	Ghir_D05G023650	0.853612148084263
Ghir_A03G021400	Ghir_D02G022870	0.848621774698195
Ghir_A04G011670	Ghir_D05G023650	0.846203221469442
Ghir_A10G004290	Ghir_D02G011440	0.842641128585293
Ghir_A02G018560	Ghir_A09G026130	0.84260612248245
Ghir_A09G026130	Ghir_D03G001060	0.841350992360913
Ghir_A08G006080	Ghir_D02G023290	0.841165183014416
Ghir_A08G006080	Ghir_A09G026130	0.838254294841714
Ghir_A03G021400	Ghir_A04G013450	0.837669957016008
Ghir_D02G023290	Ghir_D05G023650	0.836906776112057
Ghir_A07G018990	Ghir_D02G023290	0.83549915940889
Ghir_D05G017750	Ghir_D10G005060	0.830125060442257
Ghir_A04G013450	Ghir_A05G023780	0.828337823301892
Ghir_A03G021400	Ghir_D05G023650	0.827092906757364
Ghir_A05G017760	Ghir_D02G023290	0.82655709806744
Ghir_A05G017760	Ghir_D10G005060	0.824183963981997
Ghir_A08G006080	Ghir_D06G001450	0.821888063143251
Ghir_A08G022200	Ghir_D08G022970	0.818894527304263
Ghir_D05G023650	Ghir_D11G003180	0.818599444153433
Ghir_A04G013450	Ghir_A07G018990	0.818129166367694
Ghir_D02G023290	Ghir_D10G005060	0.815945922392704
Ghir_A10G004290	Ghir_D05G017750	0.810904668801946
Ghir_A11G001430	Ghir_D11G001440	0.810304661718903
Ghir_D05G023650	Ghir_D08G022970	0.810030198942909
Ghir_A03G021400	Ghir_A05G023780	0.80962502639783
Ghir_A05G017760	Ghir_A09G026130	0.80302354241274
Ghir_A10G004290	Ghir_D11G001440	0.801833582169997
Ghir_A04G011670	Ghir_D11G003180	0.801554820395462
Ghir_D10G005060	Ghir_D13G018840	0.80144873056229
Ghir_A04G013450	Ghir_A08G006080	0.800803537880893
Ghir_A03G021400	Ghir_D02G023290	0.800470513927708
Ghir_A04G011670	Ghir_D12G022910	0.800144587301326
