row	col	weight
Ghir_A12G028930	Ghir_D12G029100	0.975665547163254
Ghir_A06G019660	Ghir_D08G027120	0.969362237148144
Ghir_A06G000260	Ghir_D06G000070	0.967938782870048
Ghir_A06G019660	Ghir_D11G018920	0.966124931420229
Ghir_A05G007710	Ghir_D11G018920	0.962271361162386
Ghir_A06G012100	Ghir_D11G018920	0.960242417455415
Ghir_D02G009720	Ghir_D11G018920	0.958125846047868
Ghir_D11G008660	Ghir_D11G018920	0.955857011127601
Ghir_D08G027120	Ghir_D11G018920	0.955783248393347
Ghir_A05G021040	Ghir_D11G018920	0.955429508179918
Ghir_A06G019660	Ghir_D09G013800	0.954702235634123
Ghir_A08G024090	Ghir_D11G018920	0.95355971044111
Ghir_D02G023080	Ghir_D11G018920	0.953240828428812
Ghir_D11G018920	Ghir_D11G031650	0.95234366396637
Ghir_A08G024090	Ghir_D08G025000	0.952210102442303
Ghir_A05G021040	Ghir_D08G027120	0.952160594846004
Ghir_D11G018920	Ghir_D12G029100	0.952082828266777
Ghir_A05G021040	Ghir_A12G024270	0.951761677120121
Ghir_A05G007710	Ghir_A05G021040	0.950873796256422
Ghir_A05G021040	Ghir_A06G019660	0.949262143750133
Ghir_A05G007710	Ghir_D06G015610	0.949192349845498
Ghir_D09G013800	Ghir_D11G018920	0.949128200874109
Ghir_D06G015610	Ghir_D11G018920	0.948429074213045
Ghir_A06G012100	Ghir_D12G029100	0.947709101874097
Ghir_A05G007710	Ghir_D11G008660	0.946720497674324
Ghir_A05G021040	Ghir_D02G023080	0.946586384599398
Ghir_A04G004930	Ghir_D11G018920	0.946490716123052
Ghir_A05G021040	Ghir_D11G008660	0.946463843639196
Ghir_A01G000400	Ghir_D11G018920	0.946319852897306
Ghir_A01G000400	Ghir_D12G029100	0.945856212278798
Ghir_A05G007710	Ghir_A06G019660	0.944905134514747
Ghir_A12G024270	Ghir_D03G001350	0.942302258437582
Ghir_A12G024270	Ghir_D11G018920	0.942259307650586
Ghir_A06G012100	Ghir_D02G009720	0.941868977377909
Ghir_A04G004930	Ghir_D02G009720	0.941460732268566
Ghir_A06G019660	Ghir_A08G024090	0.94138889281247
Ghir_A05G021040	Ghir_A06G018200	0.94072893519414
Ghir_A06G001960	Ghir_D09G013800	0.939765843047114
Ghir_D02G018280	Ghir_D11G018920	0.939478851839539
Ghir_D02G018280	Ghir_D11G008660	0.93912499769712
Ghir_A06G020470	Ghir_D06G021590	0.938260229053377
Ghir_D09G013800	Ghir_D12G029100	0.93810076113941
Ghir_A12G024270	Ghir_D08G027120	0.93596270015065
Ghir_A06G012100	Ghir_D09G013800	0.935766980335931
Ghir_A05G007710	Ghir_A08G024090	0.935227469261898
Ghir_A05G002490	Ghir_D11G018920	0.9351634111206
Ghir_A06G001960	Ghir_D11G018920	0.934955629286793
Ghir_A06G001960	Ghir_A06G019660	0.934708101728974
Ghir_A12G028930	Ghir_D11G018920	0.934112248458526
Ghir_D11G018920	Ghir_D12G016090	0.931816437239662
Ghir_A06G018200	Ghir_A12G024270	0.9311688820877
Ghir_A05G002490	Ghir_A05G007710	0.929874969049441
Ghir_A06G012100	Ghir_A12G028930	0.929573298233016
Ghir_D02G023080	Ghir_D11G008660	0.929012244880891
Ghir_D06G015610	Ghir_D11G008660	0.928962898899639
Ghir_D10G021830	Ghir_D12G029100	0.928801294782306
Ghir_A06G018200	Ghir_D08G027120	0.928101362148922
Ghir_D03G017180	Ghir_D09G013800	0.927245771857912
Ghir_A04G004930	Ghir_D11G031650	0.926734068985011
Ghir_D03G001350	Ghir_D11G018920	0.924442153920667
Ghir_A05G002490	Ghir_D06G015610	0.923771127831672
Ghir_A02G013600	Ghir_A06G019660	0.923570595218459
Ghir_A05G006510	Ghir_D08G027120	0.923311754092287
Ghir_A05G021040	Ghir_A11G011970	0.922139769445716
Ghir_D06G000070	Ghir_D11G018920	0.921855846612003
Ghir_A05G006510	Ghir_A06G019660	0.921838761442592
Ghir_A02G013600	Ghir_D08G027120	0.921717367274909
Ghir_A12G028930	Ghir_D10G021830	0.921635735048822
Ghir_A02G013600	Ghir_A05G021040	0.920760536421026
Ghir_D06G021590	Ghir_D11G018920	0.920403191877921
Ghir_D06G010020	Ghir_D11G018920	0.920127742019285
Ghir_D03G017180	Ghir_D11G018920	0.919545906702656
Ghir_A06G001960	Ghir_D03G017180	0.919538362874808
Ghir_A12G024270	Ghir_D11G006360	0.919462019256832
Ghir_A01G000400	Ghir_A12G028930	0.919083531748676
Ghir_A06G001960	Ghir_D06G001830	0.918660373860209
Ghir_A06G018200	Ghir_A11G011970	0.918477837453973
Ghir_D05G002810	Ghir_D08G027120	0.91783108657856
Ghir_D06G021590	Ghir_D11G008660	0.917388213070699
Ghir_A05G021040	Ghir_D03G001350	0.917142225186926
Ghir_A05G007710	Ghir_D08G025000	0.916900915748482
Ghir_D08G025000	Ghir_D11G018920	0.915883485925952
Ghir_A12G002120	Ghir_D11G008660	0.915057499801685
Ghir_D06G003250	Ghir_D09G013800	0.913393677616575
Ghir_A11G011970	Ghir_D08G027120	0.913171207859657
Ghir_A05G029140	Ghir_D11G018920	0.912164148854587
Ghir_A09G013850	Ghir_D09G013340	0.911943672789614
Ghir_D06G003250	Ghir_D11G018920	0.911591838772952
Ghir_D02G023080	Ghir_D06G021590	0.911526918920939
Ghir_A06G012100	Ghir_D06G000070	0.911055262100581
Ghir_A03G013820	Ghir_D02G009720	0.910997551858904
Ghir_D07G012790	Ghir_D11G018920	0.910980530124743
Ghir_D11G006360	Ghir_D11G018920	0.910760066830366
Ghir_A08G024090	Ghir_A09G013850	0.910258816138032
Ghir_D02G018280	Ghir_D06G015610	0.910238421186818
Ghir_A06G000260	Ghir_D11G018920	0.909654864879937
Ghir_A03G013820	Ghir_D02G015000	0.908682342917607
Ghir_A06G012100	Ghir_D10G021830	0.908269201740795
Ghir_D07G014600	Ghir_D12G029100	0.908134886502713
Ghir_D03G001350	Ghir_D11G006360	0.907344240923082
Ghir_A05G029140	Ghir_A06G019660	0.90702452726248
Ghir_D06G003250	Ghir_D12G029100	0.906818084162816
Ghir_A09G013850	Ghir_D11G018920	0.902499538057478
Ghir_A12G002120	Ghir_D02G018280	0.902059571804319
Ghir_D11G018920	Ghir_D13G024600	0.901456458655218
Ghir_A11G029330	Ghir_D11G018920	0.900553368371466
Ghir_A12G002120	Ghir_D11G018920	0.896852703453495
Ghir_A11G014240	Ghir_D11G014280	0.896187397134581
Ghir_A05G007710	Ghir_A09G004340	0.895604226295187
Ghir_A05G021040	Ghir_A11G033240	0.894769869249609
Ghir_D02G009720	Ghir_D07G012790	0.894285801304701
Ghir_A12G028930	Ghir_D07G014600	0.891485032865007
Ghir_A09G004340	Ghir_D11G018920	0.891027150319388
Ghir_A05G006510	Ghir_D05G002810	0.89061756611339
Ghir_A03G013820	Ghir_D11G018920	0.888703332187904
Ghir_D06G001830	Ghir_D09G013800	0.887024078392242
Ghir_A05G021040	Ghir_A05G028010	0.885171385832902
Ghir_A11G033240	Ghir_D11G018920	0.885102208916183
Ghir_A05G029140	Ghir_A06G001960	0.884829924529502
Ghir_A05G007710	Ghir_D06G000290	0.884555625203087
Ghir_A05G011240	Ghir_D11G008660	0.883342937996296
Ghir_A12G002120	Ghir_D12G002170	0.883319573834347
Ghir_D06G018320	Ghir_D10G021830	0.881304730733277
Ghir_A05G021040	Ghir_D06G000290	0.881136387994658
Ghir_A09G013850	Ghir_D08G025000	0.876931979774891
Ghir_A01G000400	Ghir_D07G014600	0.876709852946433
Ghir_A05G007710	Ghir_A05G028010	0.87634926615606
Ghir_A05G002490	Ghir_A09G004340	0.875889920344029
Ghir_A11G033240	Ghir_D03G001350	0.874296459792246
Ghir_A05G028010	Ghir_D11G008660	0.873226342437379
Ghir_A06G019660	Ghir_D06G001830	0.872609203823246
Ghir_A05G011240	Ghir_D11G018920	0.871924010655443
Ghir_D02G004950	Ghir_D09G013800	0.871082076147901
Ghir_A04G004930	Ghir_D11G029430	0.868117599684564
Ghir_A11G014240	Ghir_D11G018920	0.861020240557991
Ghir_A08G024090	Ghir_D09G013340	0.860834591312665
Ghir_D11G018920	Ghir_D11G029430	0.859237122318322
Ghir_D12G016090	Ghir_D13G024600	0.858388520267912
Ghir_D06G018320	Ghir_D12G029100	0.85758646703885
Ghir_A12G028930	Ghir_D06G018320	0.857482807843802
Ghir_A06G019660	Ghir_D02G004950	0.856922887399454
Ghir_A08G024090	Ghir_A11G014240	0.856539372653265
Ghir_A01G003040	Ghir_A12G024270	0.855848762341784
Ghir_D09G013340	Ghir_D11G018920	0.854283927118303
Ghir_A06G019660	Ghir_D06G000290	0.847511035198809
Ghir_A05G011240	Ghir_D06G021590	0.847185723999974
Ghir_A03G013820	Ghir_D07G012790	0.846702243672895
Ghir_D03G000420	Ghir_D06G010020	0.844196249266537
Ghir_D07G002010	Ghir_D11G018920	0.841095825679202
Ghir_A01G003040	Ghir_A05G021040	0.84006413961833
Ghir_D02G009720	Ghir_D11G029430	0.831753213191968
Ghir_D06G015610	Ghir_D07G002010	0.830662531077879
Ghir_A06G020470	Ghir_D11G018920	0.829815841426299
Ghir_A06G020470	Ghir_D02G023080	0.827187101865784
Ghir_A01G003040	Ghir_A06G018200	0.825002273587953
