row	col	weight
Ghir_A08G005110	Ghir_D08G005230	0.984526898112698
Ghir_A10G003260	Ghir_D10G004060	0.984007597655041
Ghir_A08G005110	Ghir_A10G003260	0.983233728638411
Ghir_A10G003260	Ghir_D08G005230	0.981184573406714
Ghir_A03G018310	Ghir_D02G019690	0.970049646459342
Ghir_A01G005750	Ghir_D10G004060	0.969768446726934
Ghir_A08G005110	Ghir_D10G004060	0.969591615979603
Ghir_A10G020660	Ghir_D10G004060	0.967081217424703
Ghir_D08G005230	Ghir_D10G004060	0.965665127819281
Ghir_A03G018310	Ghir_D10G004060	0.964296547650747
Ghir_A01G005750	Ghir_D01G006020	0.962798275294552
Ghir_A01G005750	Ghir_A10G003260	0.962585641768016
Ghir_A12G011400	Ghir_D12G011620	0.961906313139946
Ghir_A03G018310	Ghir_D01G010960	0.959243684376287
Ghir_D01G010960	Ghir_D10G004060	0.959240170332677
Ghir_A10G003260	Ghir_A10G020660	0.959228628104829
Ghir_D06G006740	Ghir_D10G004060	0.956420511978028
Ghir_A10G020660	Ghir_D10G022480	0.955504998760721
Ghir_A03G018310	Ghir_A09G017830	0.955504145103052
Ghir_A01G005750	Ghir_A08G005110	0.955446745590162
Ghir_A03G018310	Ghir_A10G020660	0.954176937973311
Ghir_A10G003260	Ghir_D06G006740	0.953773565889031
Ghir_A10G020660	Ghir_D06G006740	0.94870081930766
Ghir_A10G020660	Ghir_D08G005230	0.948422384091471
Ghir_A09G017830	Ghir_D10G004060	0.947802305494724
Ghir_A07G016580	Ghir_A08G005110	0.945557574644528
Ghir_D10G004060	Ghir_D13G005820	0.944564729019692
Ghir_A03G018310	Ghir_D06G005600	0.943156695802808
Ghir_A07G016580	Ghir_D10G004060	0.943123196968797
Ghir_A07G016580	Ghir_D08G005230	0.942631591003629
Ghir_D01G010960	Ghir_D06G006740	0.941927849585965
Ghir_A01G007520	Ghir_A10G020660	0.941865929213156
Ghir_A08G024210	Ghir_D08G025110	0.940975423586473
Ghir_A09G017830	Ghir_D01G010960	0.940702672114972
Ghir_A03G018310	Ghir_D06G006740	0.940214213812011
Ghir_D06G005600	Ghir_D10G004060	0.939512934953201
Ghir_D02G019690	Ghir_D10G004060	0.939132085221941
Ghir_A09G021980	Ghir_D13G020040	0.938538371046017
Ghir_D01G006020	Ghir_D10G004060	0.938370453246949
Ghir_A03G018310	Ghir_A12G011400	0.936752337214728
Ghir_A09G017830	Ghir_D02G019690	0.935475870274515
Ghir_A10G020660	Ghir_D06G005600	0.935264977800721
Ghir_A10G003260	Ghir_D10G022480	0.933572955124159
Ghir_A09G021980	Ghir_D01G006020	0.933493202004245
Ghir_A09G021980	Ghir_D10G004060	0.931510314314425
Ghir_D06G006740	Ghir_D13G005820	0.931233193852312
Ghir_A09G002220	Ghir_D01G010960	0.930975723882688
Ghir_D10G004060	Ghir_D13G020040	0.928475529395465
Ghir_A09G017830	Ghir_D09G017300	0.927909466210509
Ghir_A10G003260	Ghir_D13G005820	0.926668447291429
Ghir_D03G012200	Ghir_D10G004060	0.926638566893066
Ghir_D08G005230	Ghir_D10G022480	0.925753572424398
Ghir_A01G007520	Ghir_D10G004060	0.923357678299077
Ghir_A12G011400	Ghir_D10G004060	0.92320200805333
Ghir_A01G010140	Ghir_D01G010960	0.923195503297397
Ghir_A01G005750	Ghir_A09G021980	0.922944509801217
Ghir_A10G020660	Ghir_D03G012200	0.922831480289749
Ghir_A02G017630	Ghir_D03G001930	0.921673416604688
Ghir_A07G016580	Ghir_D07G016910	0.920556571796978
Ghir_D01G006020	Ghir_D13G020040	0.919554688394146
Ghir_A12G011400	Ghir_D09G016400	0.916536625441229
Ghir_D05G007760	Ghir_D10G004060	0.916429575714414
Ghir_A03G018310	Ghir_D03G001930	0.916165125362146
Ghir_A01G010140	Ghir_D10G004060	0.915251775377149
Ghir_A01G005750	Ghir_D05G007760	0.91297940417441
Ghir_D01G006020	Ghir_D01G015610	0.912841036934143
Ghir_A03G018310	Ghir_D12G011620	0.912822745440697
Ghir_A10G003260	Ghir_D05G007760	0.912628251124558
Ghir_A12G011400	Ghir_D02G019690	0.911875712311866
Ghir_A01G007520	Ghir_D08G005230	0.910503291818272
Ghir_A04G013290	Ghir_D01G010960	0.910166937910024
Ghir_A08G005800	Ghir_D02G019690	0.90985283859734
Ghir_A03G018310	Ghir_A09G002220	0.909353899142923
Ghir_A08G005800	Ghir_D08G005950	0.908979157871578
Ghir_A01G005750	Ghir_A08G023210	0.90863303581857
Ghir_A04G013290	Ghir_A09G017830	0.908195279962342
Ghir_A09G021980	Ghir_D08G025110	0.907645514130054
Ghir_A03G018310	Ghir_D09G016400	0.904691789525194
Ghir_A08G023210	Ghir_D10G004060	0.90198704022237
Ghir_D09G016400	Ghir_D12G011620	0.901126703385277
Ghir_D07G016910	Ghir_D10G004060	0.900580697028332
Ghir_D02G019690	Ghir_D12G011620	0.89768862993918
Ghir_A01G005750	Ghir_D01G015610	0.897644596835586
Ghir_A03G018310	Ghir_A08G005800	0.896772878411695
Ghir_A08G005110	Ghir_D01G006020	0.895218618427063
Ghir_D03G012200	Ghir_D06G005600	0.895050648892203
Ghir_A09G017830	Ghir_D03G001930	0.894058629424494
Ghir_A03G018310	Ghir_A12G023560	0.892872148881261
Ghir_A06G005560	Ghir_D06G005600	0.892430610253352
Ghir_D08G025110	Ghir_D13G020040	0.891893188686103
Ghir_A08G025770	Ghir_D06G006740	0.891382157546961
Ghir_D02G019690	Ghir_D08G005950	0.890304789973743
Ghir_A06G006620	Ghir_D06G006740	0.890244614453606
Ghir_A08G005110	Ghir_D07G016910	0.889355140720821
Ghir_A09G021980	Ghir_D10G000780	0.888799509677027
Ghir_A01G010140	Ghir_A09G017830	0.888771882765923
Ghir_D08G025110	Ghir_D10G004060	0.888130797568847
Ghir_A10G020660	Ghir_A12G023560	0.887170579186245
Ghir_A01G005750	Ghir_D04G001260	0.887088111679126
Ghir_A01G005750	Ghir_A02G010970	0.886349192602731
Ghir_D02G019690	Ghir_D06G006580	0.884570705183611
Ghir_A09G021980	Ghir_D01G015610	0.884141659124437
Ghir_D02G019690	Ghir_D09G017300	0.883081959833458
Ghir_A01G010140	Ghir_A04G013290	0.882808347260627
Ghir_A03G018310	Ghir_D09G017300	0.882575462278419
Ghir_A03G018310	Ghir_D08G005950	0.880881041495529
Ghir_A03G018310	Ghir_D13G023970	0.880013335955902
Ghir_A08G005800	Ghir_D12G011620	0.878569992347536
Ghir_A01G007520	Ghir_D01G007870	0.876446083862862
Ghir_A02G010970	Ghir_D03G008950	0.874487829516141
Ghir_A02G010260	Ghir_A12G011400	0.873377655802307
Ghir_A08G024210	Ghir_A09G021980	0.873127073563649
Ghir_D04G001260	Ghir_D10G004060	0.872580388077298
Ghir_A13G013320	Ghir_D13G014040	0.871771092519763
Ghir_D08G025110	Ghir_D10G000780	0.871578967275623
Ghir_A09G021980	Ghir_A13G021870	0.871511987816691
Ghir_A10G020660	Ghir_D13G023970	0.871368041354197
Ghir_A07G017610	Ghir_A08G024210	0.870490131572099
Ghir_A08G025770	Ghir_A10G003260	0.869808384518458
Ghir_A06G006620	Ghir_D10G004060	0.869154113543043
Ghir_A03G018310	Ghir_D06G006580	0.868351086976334
Ghir_A12G023560	Ghir_D06G006740	0.867495785947747
Ghir_A02G010970	Ghir_A10G003260	0.865357498453494
Ghir_D01G010960	Ghir_D13G014040	0.864718298510024
Ghir_A08G024210	Ghir_D13G020040	0.862893965697818
Ghir_A08G024210	Ghir_D10G000780	0.861583909929686
Ghir_A08G025770	Ghir_D13G005820	0.860453893069751
Ghir_A07G019480	Ghir_A08G024210	0.860083796047542
Ghir_D02G006100	Ghir_D08G005950	0.859429964677421
Ghir_A01G016320	Ghir_A08G024210	0.859210972530101
Ghir_D06G002500	Ghir_D09G017300	0.859107924734785
Ghir_A02G018490	Ghir_D01G010960	0.858619823158566
Ghir_A09G002220	Ghir_D13G014040	0.858589982026246
Ghir_A06G002650	Ghir_D06G002500	0.858270302554429
Ghir_A09G017830	Ghir_D11G025450	0.854920253867415
Ghir_A02G010260	Ghir_D12G011620	0.854204647257673
Ghir_A06G006620	Ghir_D13G005820	0.852275681846051
Ghir_A13G021870	Ghir_D01G006020	0.851820675388588
Ghir_A05G024050	Ghir_D07G016910	0.851622161870201
Ghir_D11G003580	Ghir_D12G011620	0.851443281151493
Ghir_A01G016320	Ghir_D08G025110	0.850024187800241
Ghir_A02G017630	Ghir_A03G018310	0.849893699646958
Ghir_A02G010970	Ghir_A08G005110	0.849837733410867
Ghir_D02G019690	Ghir_D08G013320	0.84829003128415
Ghir_A08G023210	Ghir_A09G021980	0.847381879183932
Ghir_D06G005600	Ghir_D13G023970	0.846535997839225
Ghir_A07G019480	Ghir_D08G025110	0.844328194472465
Ghir_A07G017610	Ghir_D08G025110	0.84426020990466
Ghir_A03G018310	Ghir_D08G013320	0.842106428693929
Ghir_A02G010260	Ghir_D02G019690	0.841841824644581
Ghir_A02G018490	Ghir_A09G002220	0.840922555098458
Ghir_D06G006580	Ghir_D09G017300	0.840694963688919
Ghir_A02G018490	Ghir_A03G018310	0.839147763746595
Ghir_D10G004060	Ghir_D12G001520	0.838584723329303
Ghir_A03G018310	Ghir_D11G025450	0.838127088072492
Ghir_A06G020880	Ghir_D08G025110	0.838071697280346
Ghir_A12G001490	Ghir_D12G001520	0.834538700993481
Ghir_A12G011400	Ghir_D11G003580	0.834198056571019
Ghir_D05G007760	Ghir_D12G001520	0.83328475651495
Ghir_A06G005560	Ghir_D10G004060	0.826651720776054
Ghir_A09G017830	Ghir_D06G002500	0.825928085272114
Ghir_A08G023210	Ghir_D04G001260	0.824707429633724
Ghir_A10G003260	Ghir_D12G001520	0.824146974576145
Ghir_D09G016400	Ghir_D11G003580	0.824013596107566
Ghir_A13G013320	Ghir_D01G010960	0.823923982680495
Ghir_A10G020660	Ghir_D01G007870	0.823744585090889
Ghir_A03G018310	Ghir_D02G006100	0.818032029527127
Ghir_A06G002650	Ghir_D09G017300	0.817047948148617
Ghir_A03G018310	Ghir_A06G005560	0.814053209717414
Ghir_A05G043520	Ghir_A12G011400	0.813216049962885
Ghir_D08G005950	Ghir_D08G013320	0.812340492041495
Ghir_A01G016320	Ghir_D10G000780	0.812278174783656
Ghir_A07G017610	Ghir_D13G020040	0.811150363312462
Ghir_A01G016320	Ghir_D01G017830	0.809240371707385
Ghir_D09G020640	Ghir_D12G011620	0.807291219919881
Ghir_A07G017610	Ghir_A07G019480	0.806930838871626
Ghir_A12G011400	Ghir_D02G015710	0.806655377102923
Ghir_A01G005750	Ghir_D03G008950	0.805486633894138
Ghir_A13G024250	Ghir_D12G011620	0.805103511065787
Ghir_A06G002650	Ghir_A09G017830	0.804765593819856
Ghir_A06G020880	Ghir_A08G024210	0.800670004013784
Ghir_D03G012200	Ghir_D12G002300	0.800091802235985
Ghir_A08G019590	Ghir_D03G001930	0.798125572978016
Ghir_A13G024250	Ghir_D02G019690	0.79800214938259
